tripadvisor_entity_id,name,link,rating,reviews_count,price_range,phone,is_open_now,status_text,address,city,postal_code,country,country_code,latitude,longitude,parent_location_id,parent_location_name,featured_image,has_reservation,has_delivery,is_ad
25566042,Bushra,https://www.tripadvisor.com/Restaurant_Review-g294217-d25566042-Reviews-Bushra-Hong_Kong.html,4.9,202,$$ - $$$,+852 6172 3591,True,Open now,"66 Mody Road Shop 6, G/F & Shop 16, UG/F, Tsim Sha Tsui Centre, Hong Kong China",,,China,CN,22.297672,114.17799,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2c/19/34/0f/ground-floor.jpg,False,False,True
23871030,Kushiro,https://www.tripadvisor.com/Restaurant_Review-g294217-d23871030-Reviews-Kushiro-Hong_Kong.html,4.9,221,$$$$,+852 2957 8838,False,Closed now,"Salisbury Road Shop BW1, BW3 & BW5, B1/F The Peninsula Hotel, Hong Kong China",,,China,CN,22.295103,114.17156,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/27/9f/b2/ff/main-sushi-counter.jpg,False,False,True
2540306,One Dim Sum Chinese Restaurant,https://www.tripadvisor.com/Restaurant_Review-g294217-d2540306-Reviews-One_Dim_Sum_Chinese_Restaurant-Hong_Kong.html,4.4,2806,$,+852 2677 7888,True,Open now,"G/F 209A-209B Tung Choi Street Prince Edward, Hong Kong China",,,China,CN,22.325727,114.16917,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/eb/49/ee/photo3jpg.jpg,False,False,
14982719,Cruise Restaurant & Bar,https://www.tripadvisor.com/Restaurant_Review-g294217-d14982719-Reviews-Cruise_Restaurant_Bar-Hong_Kong.html,4.9,2180,$$ - $$$,+852 3896 9898,True,Open now,"1 North Point Estate Lane 23/F, West Tower, Hyatt Centric Victoria Harbour Hong Kong, Hong Kong 000000 China",,000000,China,CN,22.292856,114.1993,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/ae/70/f6/cruise.jpg,False,False,
21209910,Twist ＆ Buckle,https://www.tripadvisor.com/Restaurant_Review-g294217-d21209910-Reviews-Twist_Buckle-Hong_Kong.html,4.9,430,$,+852 6508 2674,True,Open now,"29-31 Chatham Road South North Point, Hong Kong China",,,China,CN,22.298191,114.175545,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/cf/1c/a1/glazed-churros.jpg,False,False,
6739503,Ding Dim 1968,https://www.tripadvisor.com/Restaurant_Review-g294217-d6739503-Reviews-Ding_Dim_1968-Hong_Kong.html,4.2,945,$,+852 2326 1968,True,Open now,"59 Wyndham Street G/F, Central, Hong Kong China",,,China,CN,22.281292,114.15491,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/c0/4c/2a/ding-dim-1968.jpg,False,False,
12882001,Mr Wolf,https://www.tripadvisor.com/Restaurant_Review-g294217-d12882001-Reviews-Mr_Wolf-Hong_Kong.html,4.2,195,$$ - $$$,+852 2526 0838,True,Open now,"70 Queens Road, Central 5/F, Crawford House, Hong Kong China",,,China,CN,22.28264,114.15564,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2b/73/68/ac/executive-lunch.jpg,False,False,True
24005347,The Hunter,https://www.tripadvisor.com/Restaurant_Review-g294217-d24005347-Reviews-The_Hunter-Hong_Kong.html,4.9,251,$$ - $$$,+852 2330 0204,True,Open now,"29 Tong Yin Street, Tseung Kwan O Alto Residences Shop 11, G/F, Seaside, Hong Kong China",,,China,CN,22.301638,114.25824,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2a/f7/ea/bc/the-hunter.jpg,True,False,
3749262,Tim Ho Wan Sham Shui Po,https://www.tripadvisor.com/Restaurant_Review-g294217-d3749262-Reviews-Tim_Ho_Wan_Sham_Shui_Po-Hong_Kong.html,4.2,1392,$,+852 2788 1226,True,Open now,"G/F, 9-11 Fuk Wing Street, Hong Kong China",,,China,CN,22.329348,114.16644,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/10/c5/67/20160913181550-img-2816.jpg,False,False,
5400408,Din Tai Fung (Silvercord),https://www.tripadvisor.com/Restaurant_Review-g294217-d5400408-Reviews-Din_Tai_Fung_Silvercord-Hong_Kong.html,4.3,1703,$$ - $$$,+852 2730 6928,True,Open now,"3/F, Silvercord, No.30 Canton Road, Tsim Sha Tsui, Kowloon, Hong Kong China",,,China,CN,22.297623,114.16926,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/a7/03/27/quite-large-dining-room.jpg,False,False,
1792423,Man Wah,https://www.tripadvisor.com/Restaurant_Review-g294217-d1792423-Reviews-Man_Wah-Hong_Kong.html,4.7,1224,$$$$,+852 2825 4003,False,Closed now,"25/f, Mandarin Oriental Hong Kong 5 Connaught Road Central, Hong Kong 000000 China",,000000,China,CN,22.28134,114.16027,294217,Hong Kong,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a8/58/84/man-wah-at-mandarin-oriental.jpg,True,False,
